date,offset,size
2019-03-10,21742705911,40452985
2019-03-11,21783158896,39482141
2019-03-12,21822641037,39371615
2019-03-13,21862012652,39912371
2019-03-14,21901925023,40903991
2019-03-15,21942829014,40541914
2019-03-16,21983370928,37738614
2019-03-17,22021109542,33939448
2019-03-18,22055048990,32113788
2019-03-19,22087162778,33113418
2019-03-20,22120276196,41934148
2019-03-21,22162210344,44310874
2019-03-22,22206521218,43633436
2019-03-23,22250154654,43175020
2019-03-24,22293329674,43453818
2019-03-25,22336783492,44589508
2019-03-26,22381373000,44885296
2019-03-27,22426258296,43847771
2019-03-28,22470106067,43935678
2019-03-29,22514041745,41394129
2019-03-30,22555435874,20440522
2019-03-31,22575876396,26218443
2019-04-01,22602094839,27167688
2019-04-02,22629262527,37062684
2019-04-03,22666325211,39088805
2019-04-04,22705414016,34104313
2019-04-05,22739518329,32752839
2019-04-06,22772271168,33077996
2019-04-07,22805349164,33625582
2019-04-08,22838974746,32814744
2019-04-09,22871789490,32253017
2019-04-10,22904042507,34130462
2019-04-11,22938172969,35400252
2019-04-12,22973573221,32595953
2019-04-13,23006169174,33203654
2019-04-14,23039372828,31794962
2019-04-15,23071167790,25924848
2019-04-16,23097092638,28517731
2019-04-17,23125610369,28347500
2019-04-18,23153957869,28827002
2019-04-19,23182784871,28884427
2019-04-20,23211669298,29288632
2019-04-21,23240957930,28883249
2019-04-22,23269841179,30193412
2019-04-23,23300034591,34919092
2019-04-24,23334953683,38344729
2019-04-25,23373298412,38824837
2019-04-26,23412123249,41298730
2019-04-27,23453421979,40750349
2019-04-28,23494172328,39712860
2019-04-29,23533885188,38824163
2019-04-30,23572709351,35342202
2019-05-01,23608051553,36337145
2019-05-02,23644388698,37180488
2019-05-03,23681569186,37719739
2019-05-04,23719288925,37204912
2019-05-05,23756493837,34944225
2019-05-06,23791438062,36787102
2019-05-07,23828225164,41966118
2019-05-08,23870191282,40212029
2019-05-09,23910403311,42255245
2019-05-10,23952658556,40335520
2019-05-11,23992994076,47752986
2019-05-12,24040747062,39997644
2019-05-13,24080744706,37939580
2019-05-14,24118684286,44379210
2019-05-15,24163063496,37613506
2019-05-16,24200677002,38575827
2019-05-17,24239252829,38411624
2019-05-18,24277664453,40357015
2019-05-19,24318021468,38351426
2019-05-20,24356372894,38699892
2019-05-21,24395072786,37997100
2019-05-22,24433069886,39106618
2019-05-23,24472176504,45082882
2019-05-24,24517259386,45840425
2019-05-25,24563099811,47549966
2019-05-26,24610649777,47529808
2019-05-27,24658179585,47165058
2019-05-28,24705344643,45431147
2019-05-29,24750775790,44559985
2019-05-30,24795335775,44054668
2019-05-31,24839390443,42083978
2019-06-01,24881474421,40783543
2019-06-02,24922257964,39953128
2019-06-03,24962211092,39339011
2019-06-04,25001550103,42751221
2019-06-05,25044301324,45596024
2019-06-06,25089897348,48651181
2019-06-07,25138548529,47235473
2019-06-08,25185784002,48277546
2019-06-09,25234061548,47468774
2019-06-10,25281530322,48165019
2019-06-11,25329695341,48118327
2019-06-12,25377813668,47316702
2019-06-13,25425130370,45339023
2019-06-14,25470469393,40984427
2019-06-15,25511453820,35261926
2019-06-16,25546715746,35122712
2019-06-17,25581838458,35923969
2019-06-18,25617762427,38638876
2019-06-19,25656401303,45542356
2019-06-20,25701943659,44554276
2019-06-21,25746497935,44157430
2019-06-22,25790655365,41774150
2019-06-23,25832429515,41326485
2019-06-24,25873756000,39886205
2019-06-25,25913642205,42645387
2019-06-26,25956287592,44928816
2019-06-27,26001216408,42156259
2019-06-28,26043372667,41220747
2019-06-29,26084593414,40620468
2019-06-30,26125213882,38772852
2019-07-01,26163986734,39394021
2019-07-02,26203380755,37312983
2019-07-03,26240693738,45089279
2019-07-04,26285783017,37187491
2019-07-05,26322970508,44762908
2019-07-06,26367733416,41407242
2019-07-07,26409140658,40803600
2019-07-08,26449944258,44742340
2019-07-09,26494686598,42139008
2019-07-10,26536825606,46744887
2019-07-11,26583570493,49161926
2019-07-12,26632732419,46521802
2019-07-13,26679254221,40084584
2019-07-14,26719338805,42754797
2019-07-15,26762093602,38701818
2019-07-16,26800795420,44383093
2019-07-17,26845178513,49223602
2019-07-18,26894402115,52445051
2019-07-19,26946847166,51483826
2019-07-20,26998330992,44676351
2019-07-21,27043007343,44175807
2019-07-22,27087183150,47396776
2019-07-23,27134579926,45752269
2019-07-24,27180332195,46810085
2019-07-25,27227142280,45153516
2019-07-26,27272295796,45810455
2019-07-27,27318106251,45611523
2019-07-28,27363717774,46272477
2019-07-29,27409990251,45938213
2019-07-30,27455928464,46986642
2019-07-31,27502915106,50640115
2019-08-01,27553555221,63112466
