month,overall,public_housing,1-room_2-room,3-room,4-room,5-room_and_executive,private_housing,private_apts_and_condo,landed_properties,others
2015-10,643.6,379.3,10.7,67.7,154.9,145.9,263.4,167.7,95.7,0.9
2015-11,645.7,379,10.7,68,154.2,146.1,265.7,172.7,93,0.9
2015-12,622.4,370.3,10.7,66,151.9,141.7,251.2,160.5,90.7,0.9
2016-01,570.2,336.7,10.2,61.2,137.9,127.4,232.7,148.4,84.3,0.9
2016-02,580.4,344.5,10,62.2,141.2,131.1,235.1,148.7,86.4,0.8
2016-03,585.3,344.1,9.7,60.9,141.2,132.2,240.4,152.9,87.5,0.8
2016-04,648.6,379.1,10.8,68,155.3,145,268.5,172.5,96.1,1
2016-05,689.1,402.7,11.6,72.6,164.9,153.6,285.4,186.6,98.8,1
2016-06,708.5,416.8,11.9,74.4,171.1,159.3,290.7,190,100.7,1
2016-07,642.2,382.9,11.2,68.2,157.6,145.9,258.4,167.9,90.5,0.9
2016-08,647,385.2,11.3,69.2,158.2,146.5,261,167.5,93.5,0.8
2016-09,647.7,385.2,11.2,68.7,158.4,146.9,261.7,169.6,92.1,0.8
2016-10,650.5,382,11.2,68.2,157,145.6,267.6,173.9,93.7,0.9
2016-11,644.8,382.3,11.3,67.7,157.2,146.1,261.6,170.8,90.9,0.9
2016-12,575.1,338.8,10.4,60.6,139.4,128.4,235.6,152,83.6,0.7
2017-01,567.2,335.4,10.5,60.4,138.7,125.7,231,149,82,0.8
2017-02,574,337,10.5,60,139.2,127.3,236.3,150.9,85.4,0.7
2017-03,533.1,312.4,9.6,55.4,128.6,118.9,220,141.6,78.4,0.7
2017-04,583.7,341.6,10.4,61.2,140.7,129.2,241.4,156.7,84.6,0.8
2017-05,619.9,364,11.3,65.5,150.7,136.5,255.1,168.4,86.7,0.8
2017-06,649,376.8,11.4,64.9,155.6,145,271.4,179.9,91.5,0.8
2017-07,698.1,420.9,12.7,76.3,174.4,157.6,276.3,182.7,93.7,0.9
2017-08,630.2,369.2,11.4,65.1,152.9,139.8,260.2,167.6,92.6,0.8
2017-09,613.1,358,11.1,63.3,148.1,135.5,254.3,166.8,87.6,0.8
2017-10,622.1,363.5,11.3,64.7,150.1,137.4,257.8,168,89.8,0.8
